Blue_Pick_1,Blue_Pick_2,Blue_Pick_3,Blue_Pick_4,Blue_Pick_5,Red_Pick_1,Red_Pick_2,Red_Pick_3,Red_Pick_4,Red_Pick_5,Blue_Win
Zaahen,Ekko,Talon,MissFortune,Rakan,Jayce,Sylas,Akshan,Jhin,Rell,1
Irelia,Ambessa,Talon,MissFortune,Leblanc,Fiora,Sylas,Rumble,Jhin,Maokai,0
KSante,Aatrox,Syndra,Yunara,Sona,Gangplank,Lillia,Fiora,MissFortune,Rell,0
Rumble,Hecarim,Yasuo,Jhin,Lux,Ambessa,Zed,Malzahar,Tristana,Bard,0
Gangplank,Jax,Quinn,AurelionSol,Janna,Aatrox,Graves,Malzahar,Ashe,Blitzcrank,1
Renekton,Graves,Katarina,Ashe,Janna,Riven,Sylas,Ambessa,Kaisa,Bard,1
KSante,Trundle,Hwei,Lucian,Nami,Rumble,XinZhao,Taliyah,Smolder,Janna,1
KSante,Elise,Yone,Kaisa,Rell,Ambessa,Sylas,Akali,Yunara,Nautilus,1
Pantheon,Belveth,Syndra,Jhin,Neeko,Sion,Jax,Velkoz,Caitlyn,Bard,1
KSante,LeeSin,Ryze,Nilah,Senna,Rumble,Rengar,Hwei,Zeri,Rell,1
Ambessa,Sylas,Akali,Kaisa,Rell,Poppy,Trundle,Orianna,Mel,Rakan,1
Ambessa,LeeSin,Galio,Kaisa,Leona,Renekton,Ekko,Qiyana,Ezreal,Blitzcrank,0
Sion,Talon,Teemo,Vayne,Blitzcrank,Heimerdinger,Qiyana,Azir,Ezreal,Rell,0
Singed,Zed,Orianna,Jhin,Karma,Yorick,Sylas,Akshan,Ezreal,Blitzcrank,0
Jayce,Graves,Syndra,Ezreal,Zac,Shen,Zed,Viktor,Kaisa,Karma,0
Gnar,Graves,Azir,Yunara,Velkoz,Singed,RekSai,Syndra,Ashe,Nautilus,1
Rumble,Sylas,Irelia,Ezreal,Braum,Ryze,JarvanIV,Cassiopeia,Sivir,Poppy,1
Jax,Khazix,Ryze,Yunara,Sylas,RekSai,Graves,Leblanc,Smolder,Rell,1
Gwen,MonkeyKing,Aurora,Smolder,Senna,Aatrox,JarvanIV,Taliyah,Corki,Nautilus,0
Aatrox,Qiyana,Akali,Corki,Senna,Shen,Viego,Annie,Ezreal,Nautilus,1
Gangplank,JarvanIV,Akali,Jhin,Pyke,KSante,Sylas,Vex,Corki,Senna,1
KSante,Khazix,Vladimir,Aphelios,Thresh,Shen,Diana,Viktor,Smolder,Karma,1
Aatrox,Viego,Akali,Kaisa,Pyke,Jayce,Nunu,Sion,Yunara,Lulu,0
Yorick,JarvanIV,Taliyah,Draven,Bard,Jax,Udyr,Zed,Ziggs,Nidalee,0
Rumble,XinZhao,Irelia,Ashe,Neeko,Jax,Talon,Vex,Jhin,Rakan,1
Rumble,Qiyana,Ryze,Olaf,Alistar,Gwen,LeeSin,Aurora,Jhin,Nautilus,1
Yorick,Naafiri,Aurora,Jinx,Bard,Mordekaiser,Zed,Taliyah,Yunara,Lulu,1
Sion,Qiyana,Viktor,Yunara,Rakan,Aatrox,DrMundo,Orianna,Jinx,Pyke,0
Mordekaiser,XinZhao,Anivia,Ashe,Neeko,Fiora,MonkeyKing,Aurora,Yunara,Sona,0
Shen,JarvanIV,Vladimir,Aphelios,Lulu,Sion,LeeSin,Anivia,Kaisa,Taric,0
Gnar,LeeSin,Taliyah,Xayah,Alistar,KSante,Jax,Aurora,Kaisa,Braum,1
Ambessa,Qiyana,Akali,Aphelios,Senna,Camille,Elise,Irelia,Kaisa,Nautilus,0
Rumble,JarvanIV,Sion,Kaisa,Rell,Cassiopeia,Qiyana,TwistedFate,Xayah,Rakan,1
KSante,Nocturne,Zoe,Draven,Nautilus,Gwen,Khazix,Orianna,Sivir,Alistar,0
Rumble,Zed,Galio,Ashe,Nidalee,Aatrox,Nocturne,Orianna,Yunara,Pyke,0
KSante,JarvanIV,Cassiopeia,Kaisa,Rell,Gnar,Viego,Galio,Jinx,Thresh,0
Aurora,Zed,Orianna,Aphelios,Thresh,Kennen,Ekko,Tristana,Caitlyn,Neeko,1
Akali,Zed,Orianna,Xayah,Bard,Yorick,Vi,Lissandra,MissFortune,Neeko,0
Gangplank,JarvanIV,Aurora,Jhin,Rakan,Singed,Talon,Syndra,Ashe,Karma,0
KSante,Qiyana,Jayce,Mel,Neeko,Kayle,Taliyah,Tristana,Jinx,Thresh,0
Darius,Talon,Xerath,Smolder,Nami,Chogath,Viego,Ahri,Kaisa,Soraka,1
Renekton,Talon,Ekko,Smolder,Thresh,Ambessa,Nocturne,Zoe,Kaisa,Janna,1
Gnar,Ekko,Ahri,Kaisa,Nautilus,Irelia,Talon,Vladimir,Smolder,Swain,0
Zaahen,Talon,Zoe,Ezreal,Lux,Fiora,MasterYi,Ahri,Aphelios,Zyra,1
Riven,Talon,Ahri,Kaisa,Nautilus,Jayce,Briar,Zed,Ziggs,Bard,1
Kled,Talon,Morgana,Smolder,Leona,Viktor,Shaco,Tristana,Ashe,Thresh,1
Aatrox,Sylas,Yasuo,Twitch,Morgana,Yone,Elise,AurelionSol,Smolder,Thresh,0
Zaahen,Qiyana,Syndra,Samira,Rakan,Jax,Karthus,Ahri,Smolder,Bard,0
KSante,Talon,Katarina,Tristana,Morgana,Volibear,Shaco,Akali,Yunara,Leona,1
Darius,Hecarim,Yasuo,Tristana,Elise,Singed,Nocturne,Yone,Lucian,Braum,0
Kled,Neeko,Briar,MissFortune,Velkoz,Malphite,Elise,Ryze,Tristana,Pyke,1
Sett,Riven,AurelionSol,Velkoz,Alistar,Singed,Elise,Akali,Jinx,Lulu,0
Fiora,Briar,Diana,MissFortune,Lulu,Yorick,Elise,Ahri,Caitlyn,Leona,0
Aatrox,Graves,Leblanc,Ezreal,Soraka,TahmKench,Talon,Taliyah,Jhin,Smolder,1
Gragas,Lillia,Smolder,Ezreal,Milio,Varus,Karthus,Yone,Tristana,Pyke,0
Quinn,Elise,TwistedFate,Smolder,Thresh,Zaahen,MasterYi,Viktor,Nilah,Lulu,1
Yorick,Evelynn,Qiyana,Tristana,Nautilus,Teemo,Talon,Lucian,Xayah,Braum,0
Darius,JarvanIV,Kennen,Twitch,Nami,Camille,MonkeyKing,Smolder,Ezreal,Brand,1
Shen,Belveth,Malzahar,Tristana,Zilean,Kayle,Fizz,Zed,Kaisa,Soraka,0
Darius,Malphite,Zoe,MissFortune,Nautilus,Garen,Viego,Viktor,Jhin,Annie,0
Chogath,Teemo,Syndra,Lucian,Milio,Kayle,Sion,Leblanc,MissFortune,Nautilus,0
Garen,Viego,Akali,Kaisa,Leblanc,Zaahen,Teemo,Talon,Ezreal,Bard,0
Mordekaiser,Teemo,Aurora,Jhin,Thresh,Ornn,Khazix,Taliyah,Samira,Elise,1
Sion,Udyr,Vex,Kaisa,Karma,Aatrox,Teemo,Yasuo,Smolder,Sona,0
DrMundo,Teemo,Ahri,Tristana,Pantheon,Diana,Belveth,Mel,Smolder,Soraka,1
Pantheon,Briar,Veigar,Smolder,Nautilus,Kayle,Teemo,Akshan,Tristana,Nami,0
Zaahen,Talon,Kassadin,Lucian,Nami,Camille,Sylas,Velkoz,Kaisa,Lulu,0
Sion,Shyvana,Katarina,Jhin,Sona,Ornn,Fizz,Sylas,Xayah,Rakan,1
Riven,MasterYi,Morgana,Smolder,Seraphine,Shaco,Graves,Anivia,Ezreal,Lulu,1
Teemo,Talon,Kassadin,Vayne,Galio,Leblanc,MonkeyKing,Ahri,Tristana,Janna,1
Teemo,Khazix,Ahri,Ezreal,Pyke,Chogath,Rengar,Zed,Twitch,Xerath,1
Sett,Diana,Akali,Jinx,Pyke,Malphite,Elise,Veigar,Smolder,Soraka,0
Malphite,Naafiri,Orianna,Kaisa,Soraka,Mordekaiser,Sylas,Malzahar,Caitlyn,Seraphine,0
Sion,Jax,Ahri,Aphelios,Thresh,Volibear,Elise,MissFortune,Vayne,Senna,1
Tryndamere,Shaco,Akali,Nilah,Seraphine,Teemo,LeeSin,Syndra,Draven,Karma,0
Thresh,Diana,Talon,MissFortune,Renata,Sion,Kayn,Malzahar,Aphelios,Janna,1
Olaf,Ekko,Viktor,Tristana,Nami,Ahri,MonkeyKing,Yone,Hwei,Senna,1
Fiora,Talon,Vladimir,Jhin,Bard,Shen,Elise,Azir,MissFortune,Seraphine,0
Gwen,Zed,Vladimir,Kaisa,Camille,Akali,Jax,Qiyana,Sivir,Velkoz,1
DrMundo,Teemo,Akali,Jhin,Zyra,Yasuo,Fizz,Morgana,Ezreal,Brand,1
Vladimir,Malphite,Yone,Jinx,Sona,Poppy,Elise,Sylas,Samira,Blitzcrank,0
Sett,Fizz,Malzahar,Jhin,Shaco,Urgot,LeeSin,Vladimir,Jinx,Lulu,0
Gwen,Fizz,Yone,Xayah,Teemo,KSante,Zed,Ahri,Tristana,Yuumi,0
Volibear,LeeSin,Cassiopeia,Smolder,Sylas,Renekton,Fizz,Malzahar,Ashe,Janna,0
Jayce,Fizz,Xerath,Kaisa,Milio,MonkeyKing,Jax,Syndra,Smolder,Leona,1
Sylas,Volibear,Leblanc,MissFortune,Nautilus,Garen,Fizz,Malphite,Yunara,Nami,1
Garen,Chogath,Syndra,Tristana,Lulu,Tryndamere,Talon,Ahri,Caitlyn,Swain,1
Garen,DrMundo,Fizz,Mel,Lulu,Tryndamere,Elise,Yone,Kaisa,Milio,0
Gragas,Hecarim,Katarina,Sivir,Milio,Zac,Karthus,Sylas,Ezreal,Alistar,1
DrMundo,Talon,Syndra,Xayah,Thresh,Irelia,Trundle,AurelionSol,Sivir,Soraka,1
Nasus,Teemo,Yasuo,Tristana,Taric,Mordekaiser,Malphite,Yone,Xayah,Pantheon,1
Yone,Diana,Fiora,Smolder,Zyra,Darius,Fizz,Ziggs,Sivir,Nami,1
Irelia,Hecarim,Velkoz,KogMaw,Zilean,Warwick,Fizz,Ahri,Tristana,Teemo,0
Akali,Rengar,Zed,Aphelios,Swain,Tryndamere,Teemo,TwistedFate,Vayne,Nami,0
Riven,Teemo,Hwei,Smolder,Morgana,Yorick,Chogath,Viktor,Ashe,Janna,1
Malphite,Aatrox,Xerath,Xayah,Lulu,Fiora,Fizz,Zed,Brand,Bard,0
Kennen,Talon,Yone,Lux,Taric,Jax,Qiyana,Ekko,Yunara,Maokai,1
Malphite,MonkeyKing,Vladimir,Ezreal,Zyra,Chogath,Talon,Swain,MissFortune,Leona,0
Sett,Fizz,Smolder,Vayne,Pyke,Kennen,Aatrox,Malzahar,Tristana,Pantheon,0
Garen,Jax,Zed,MissFortune,TahmKench,Kayle,Fizz,Yasuo,Ezreal,Thresh,0
Teemo,MasterYi,Ekko,Kaisa,Zilean,Malphite,Elise,Ahri,Smolder,Thresh,1
Aatrox,Fizz,Sylas,Xayah,Lux,Chogath,Briar,Qiyana,MissFortune,Maokai,0
Tryndamere,Fizz,Hwei,Caitlyn,Thresh,Sion,LeeSin,Malzahar,Xerath,Milio,1
Fiora,Fizz,Zed,Caitlyn,Morgana,Renekton,Graves,Kennen,Tristana,Pyke,0
Zaahen,Fizz,Orianna,Varus,Nautilus,Ambessa,Naafiri,Lux,Mel,Senna,1
Garen,Trundle,Lissandra,MissFortune,Annie,Fiora,Malphite,Syndra,Jhin,FiddleSticks,1
Aatrox,JarvanIV,Lux,Taliyah,Pantheon,Fiora,Amumu,Mel,MissFortune,Zyra,0
DrMundo,Fizz,Yasuo,MissFortune,Nautilus,Renekton,Sylas,Naafiri,Caitlyn,Elise,0
Vayne,Ambessa,Syndra,Aphelios,Seraphine,Urgot,Karthus,Yorick,MissFortune,Sona,1
Ornn,Fizz,Orianna,MissFortune,Nami,Akali,JarvanIV,Galio,Vayne,Braum,0
Garen,Aatrox,Diana,Draven,Nautilus,Zaahen,Fizz,Ekko,MissFortune,Sona,1
Yorick,Zed,Sylas,Kaisa,Maokai,Yasuo,Fizz,Qiyana,Smolder,Rakan,1
Vladimir,Zed,Naafiri,Xayah,Brand,Pantheon,Fizz,Ekko,Kaisa,Rakan,1
Riven,Fizz,Urgot,Kaisa,Rakan,Poppy,Nidalee,Zed,Corki,Pantheon,0
Zaahen,Naafiri,Cassiopeia,MissFortune,Nami,Teemo,Hecarim,Katarina,Xayah,Pyke,0
Ambessa,Fizz,Smolder,MissFortune,Elise,Irelia,Zed,Ahri,Jinx,Zilean,1
Ryze,Fizz,Mel,MissFortune,Nautilus,Tryndamere,Belveth,Anivia,Smolder,Senna,0
Singed,Ornn,Orianna,Kaisa,Bard,Kayle,Fizz,Annie,MissFortune,Milio,0
KSante,Fizz,Karma,MissFortune,Janna,Gragas,JarvanIV,Zed,Ezreal,Braum,1
DrMundo,Kayn,Kassadin,Jhin,Brand,Aatrox,Fizz,Malphite,Caitlyn,Janna,1
Jax,Sylas,TwistedFate,Sivir,Milio,Gwen,Fizz,Morgana,Vayne,Blitzcrank,0
Darius,Qiyana,Leblanc,Smolder,Blitzcrank,Anivia,Talon,Zed,MissFortune,Karma,1
Riven,Zed,Ekko,Vayne,Brand,Yasuo,Talon,Annie,MissFortune,Seraphine,1
Darius,Zyra,Orianna,Zeri,Galio,Kennen,Malphite,Hwei,MissFortune,Pyke,0
Camille,Briar,Hwei,Ziggs,Pyke,Velkoz,Elise,Katarina,MissFortune,Pantheon,0
Gwen,Kindred,Galio,Vayne,Camille,Riven,DrMundo,Ahri,Kaisa,Annie,0
Ambessa,Jax,Katarina,Caitlyn,Milio,Yone,Amumu,Kassadin,MissFortune,Thresh,0
Sion,Viego,Aurora,Kaisa,Seraphine,Jax,Malphite,Malzahar,MissFortune,Nautilus,0
Zaahen,MasterYi,Akali,Kaisa,Thresh,Garen,Rammus,Naafiri,MissFortune,Brand,1
Ambessa,Viego,Mel,Smolder,Karma,Zed,MasterYi,Hwei,MissFortune,Leona,0
Zaahen,Khazix,Mel,MissFortune,Sylas,Urgot,Kayn,TwistedFate,Aphelios,Thresh,1
Kled,Sylas,Akali,Caitlyn,Lulu,Zaahen,Trundle,Gragas,MissFortune,Zyra,1
Kled,Chogath,Karma,Jhin,Leona,Sett,Lillia,Sylas,MissFortune,Braum,1
Sion,Talon,Mel,MissFortune,Brand,Vayne,Ekko,Leblanc,Aphelios,Karma,0
Kayle,Qiyana,Karthus,Kaisa,Nautilus,Jax,Fizz,Galio,Jinx,Pantheon,0
Garen,Karthus,Hwei,Jinx,Thresh,Darius,Jax,Mel,Aphelios,Soraka,0
Renekton,Talon,Viktor,Ziggs,Leona,Zaahen,Shaco,Mel,Ashe,Soraka,0
Garen,Riven,Lissandra,Vayne,Nautilus,KSante,Talon,Viktor,MissFortune,Ashe,0
Zaahen,Shaco,Malzahar,Vayne,Milio,Urgot,Chogath,Zed,Ezreal,Zilean,1
Kled,Talon,Ahri,Jhin,Milio,Ambessa,Zed,Velkoz,Smolder,Leona,1
Ashe,XinZhao,Swain,Yunara,Lulu,Zaahen,Talon,Sylas,Aphelios,Milio,0
Tryndamere,Talon,Orianna,Vayne,Janna,Kennen,LeeSin,Akshan,Kaisa,Rell,0
Fiora,JarvanIV,Viktor,Aphelios,Thresh,Sett,Zac,Galio,Ashe,Seraphine,0
Sett,Zaahen,Diana,Caitlyn,Nami,Jax,Ekko,Talon,Samira,Renata,1
Nasus,Zac,MissFortune,Ziggs,Karma,Malphite,Talon,Syndra,Smolder,Milio,1
Ornn,Talon,Syndra,Ezreal,Zoe,Zilean,RekSai,Viktor,Samira,Sona,1
Ambessa,Talon,Aurora,Caitlyn,Alistar,Warwick,Elise,Akshan,Vayne,Veigar,0
Jax,JarvanIV,Yasuo,Karthus,Alistar,Warwick,LeeSin,Vex,Twitch,Pantheon,0
Rumble,Talon,Yasuo,Galio,Senna,RekSai,Elise,Vladimir,Samira,Veigar,0
Garen,Rengar,Zyra,Caitlyn,Pyke,Fiora,DrMundo,Talon,Ezreal,Soraka,0
Malphite,MasterYi,Xerath,MissFortune,Janna,Neeko,Jax,Talon,Ziggs,Leona,1
Riven,FiddleSticks,Talon,Zeri,Poppy,Qiyana,Kayn,Ryze,Tristana,Pyke,1
Urgot,Diana,Malzahar,Jhin,Zilean,Aurora,Zed,Talon,Kaisa,Leona,1
Gwen,Talon,Lissandra,Corki,Nami,Yasuo,Naafiri,Kennen,Aphelios,Janna,1
Zaahen,Ekko,Smolder,Ashe,Nautilus,Ornn,Warwick,Talon,MissFortune,FiddleSticks,0
Zaahen,Khazix,Yone,Syndra,Sylas,Ornn,Kayn,Zed,Swain,Elise,0
Irelia,Viego,Syndra,Swain,Nami,Riven,Talon,Vex,MissFortune,Rakan,1
Jax,Vi,Ahri,Draven,Leona,Malphite,Talon,Yasuo,Zeri,Janna,0
Warwick,Talon,Ahri,Draven,Milio,Riven,Udyr,Akali,Tristana,Nautilus,1
Chogath,Sylas,Yone,Yunara,Pyke,Ambessa,Talon,Anivia,Ashe,Maokai,0
Rumble,Rengar,Talon,Aphelios,Zilean,Mordekaiser,Khazix,Orianna,Varus,Lulu,1
Zaahen,Ambessa,Talon,Kalista,Renata,Swain,Hecarim,Nunu,Draven,Nami,0
Ornn,Talon,Galio,Tristana,Milio,Zaahen,Elise,Azir,Ezreal,Soraka,0
Aatrox,Talon,Vex,Kaisa,Nautilus,Vladimir,Viego,Mel,Sivir,Amumu,0
DrMundo,Sylas,Katarina,Ashe,Braum,Pantheon,XinZhao,Ryze,Jhin,Rengar,1
DrMundo,Talon,Lux,Ezreal,Soraka,Aatrox,Shen,Lissandra,Jhin,Bard,1
Warwick,Talon,Viktor,KogMaw,Karma,Gnar,MasterYi,Katarina,Kaisa,Rakan,0
Riven,Jax,Kassadin,Kaisa,Pyke,Kennen,Sylas,Anivia,Smolder,Nami,1
Malzahar,FiddleSticks,Ahri,Vayne,Alistar,Rumble,Talon,Akali,Zeri,Pantheon,1
Zac,Talon,Cassiopeia,Ezreal,Taric,KSante,Nidalee,Akshan,Tristana,Lulu,0
Yone,Zaahen,Quinn,Jhin,Zoe,Mordekaiser,Shaco,Talon,Zeri,Braum,1
Cassiopeia,Talon,Katarina,Yunara,Bard,Akali,Viego,Galio,Kaisa,Lulu,1
Zaahen,Aatrox,Veigar,Ashe,Janna,TahmKench,Malphite,TwistedFate,Twitch,Pantheon,1
Kled,Viego,Diana,Twitch,Milio,Vladimir,Talon,Akshan,Aphelios,Blitzcrank,0
Aatrox,LeeSin,Nidalee,Draven,Lulu,Rumble,JarvanIV,Talon,Corki,Bard,0
Ornn,Ekko,Sylas,KogMaw,Lulu,Garen,Nidalee,Talon,Kaisa,Nami,0
Ambessa,Diana,Sylas,Zeri,Lulu,Renekton,Talon,Malzahar,Lucian,Pantheon,0
Garen,Aatrox,Talon,Vayne,Leblanc,Malphite,DrMundo,Azir,Aphelios,Karma,0
Zaahen,Naafiri,Karthus,Yunara,Yuumi,Ambessa,Nidalee,Talon,Ezreal,Karma,1
Lissandra,Jax,Talon,Kalista,Janna,Malphite,Zac,Syndra,Smolder,Orianna,1
Gnar,Diana,Qiyana,Kaisa,Nami,Ornn,Talon,Akali,Mel,Nidalee,1
Singed,Zaahen,Lux,MissFortune,Pantheon,DrMundo,MasterYi,Ahri,Jhin,Karma,0
Cassiopeia,Udyr,Smolder,Ezreal,Karma,Kayle,Sylas,Irelia,Caitlyn,Pantheon,0
Aurora,Talon,Ahri,Aphelios,Maokai,Jayce,Vi,Ziggs,Sivir,Poppy,1
Malphite,Belveth,Diana,Tristana,Nautilus,Volibear,Talon,Leblanc,Jhin,Leona,1
Ornn,Hecarim,Fizz,Samira,Maokai,Darius,Talon,Viktor,Anivia,Janna,1
Aatrox,Talon,Orianna,Caitlyn,Janna,DrMundo,Shaco,Sylas,Ezreal,Mel,1
Kennen,Ekko,Talon,Draven,Maokai,Shen,Lillia,Zed,Aphelios,Zilean,1
Jayce,Viego,Kassadin,MissFortune,Zilean,Kled,Zac,Sylas,Varus,Bard,1
Illaoi,Talon,Ryze,Caitlyn,Senna,Mordekaiser,Malphite,Sylas,Jhin,Nami,1
Warwick,Talon,Kassadin,Mel,Seraphine,Darius,Zaahen,Orianna,Senna,Janna,1
Cassiopeia,LeeSin,Syndra,Aphelios,Thresh,DrMundo,RekSai,Talon,Hwei,Bard,0
Smolder,Talon,Mel,Vayne,Karma,Darius,Sejuani,Akali,Kaisa,Janna,1
Zaahen,Sylas,Anivia,Twitch,Nami,Malzahar,Viego,Morgana,MissFortune,Nautilus,0
Shen,Udyr,TwistedFate,MissFortune,Thresh,Zaahen,Talon,Yasuo,Brand,Nami,1
Swain,Sejuani,Lux,Corki,Blitzcrank,Gragas,Ambessa,Talon,Varus,Nautilus,0
Zaahen,Talon,LeeSin,MissFortune,Bard,Darius,Brand,Zed,Jhin,Alistar,0
Malphite,Talon,Ekko,Smolder,Janna,Camille,Evelynn,Akshan,Ashe,Bard,0
Kennen,Talon,Zaahen,Nilah,Nami,Riven,Malphite,Mel,MissFortune,Sylas,0
Chogath,Talon,Kassadin,Lucian,Milio,Ambessa,Ekko,Karma,Yunara,Braum,0
Ekko,Zaahen,Lissandra,Draven,Braum,Gwen,Talon,Zed,Jhin,Karma,0
DrMundo,Talon,Malzahar,Aphelios,Thresh,Nasus,Khazix,Xerath,Caitlyn,Nami,0
Yorick,Talon,Ahri,Tristana,Lulu,Camille,Malphite,KogMaw,Caitlyn,Nami,1
Camille,Talon,Galio,Zeri,Yuumi,Zaahen,Diana,Hwei,Kaisa,Leblanc,1
Camille,Talon,Morgana,Ezreal,Bard,Varus,Khazix,Sylas,Caitlyn,Seraphine,1
Gnar,Talon,Akali,Tristana,Bard,Quinn,JarvanIV,Orianna,Kalista,Zilean,1
Warwick,Diana,Talon,Yunara,Braum,Olaf,Aatrox,Hwei,Cassiopeia,Nautilus,1
Sion,Lillia,Talon,MissFortune,TahmKench,Ornn,LeeSin,TwistedFate,Varus,Milio,0
Ornn,Zed,Malzahar,Corki,Thresh,Renekton,Sylas,Talon,Karthus,Bard,0
Gragas,LeeSin,Orianna,Smolder,Karma,KSante,Fizz,Talon,Lucian,Nami,0
Darius,Nidalee,TwistedFate,Sivir,Lulu,Vayne,Khazix,Gwen,Yunara,Alistar,1
KSante,Belveth,Azir,Ashe,Nautilus,Kayle,Diana,Talon,Aphelios,Braum,0
Yone,Belveth,Orianna,Twitch,Rell,Darius,XinZhao,Ekko,Mel,Poppy,1
Vladimir,MasterYi,Talon,Tristana,Nautilus,Gangplank,Belveth,Orianna,Jhin,Thresh,0
Irelia,Diana,Galio,Vayne,Karma,Darius,DrMundo,Talon,Velkoz,Rakan,0
Mordekaiser,Talon,Syndra,Zeri,Yuumi,KSante,LeeSin,Leblanc,Yunara,Milio,1
Ambessa,Riven,Akali,Mel,Bard,KSante,Talon,Taliyah,Jinx,Lulu,0
Shen,Sylas,Kassadin,Smolder,Seraphine,Gwen,Hecarim,Talon,Sivir,Karma,1
Yasuo,Udyr,Varus,Smolder,Nami,Irelia,Talon,Vladimir,Aphelios,Leona,0
Aatrox,Belveth,Neeko,Kaisa,Elise,Azir,XinZhao,Talon,Graves,Brand,0
Olaf,Nidalee,Galio,Kaisa,Maokai,Vladimir,Talon,AurelionSol,Jinx,Bard,0
Warwick,LeeSin,Katarina,Smolder,Poppy,Irelia,Sylas,Talon,Draven,Nami,0
Sion,Udyr,Talon,Tristana,Lulu,Volibear,MonkeyKing,Velkoz,Corki,Nami,1
Ambessa,Zed,Syndra,Smolder,Hwei,Gwen,MasterYi,Talon,Lucian,Yuumi,1
Ornn,Zed,Lux,Smolder,Bard,Darius,Talon,Velkoz,Draven,Thresh,1
Garen,Talon,Syndra,Ashe,Zilean,KSante,Naafiri,Leblanc,Lucian,Nami,1
Malphite,Gwen,Katarina,Vayne,Nautilus,Jax,Sylas,Talon,Corki,Thresh,0
Camille,Naafiri,Yasuo,Vladimir,Pyke,Kayn,Talon,Taliyah,Yunara,Soraka,0
Galio,DrMundo,Ryze,Smolder,Neeko,Irelia,Khazix,Azir,Kaisa,Lulu,0
Yasuo,Trundle,Orianna,Ashe,Thresh,Jayce,Viego,Talon,Hwei,Neeko,0
Fiora,JarvanIV,Talon,Kalista,Nautilus,Kennen,Belveth,TwistedFate,Ashe,Janna,1
Rumble,Diana,Talon,Quinn,Leona,Jayce,Ekko,Orianna,Nilah,Thresh,1
Ambessa,JarvanIV,Vayne,Kaisa,Yuumi,Renekton,Sylas,Yasuo,Ashe,Leblanc,0
Darius,Twitch,Talon,Vayne,Thresh,Taliyah,Viego,Yasuo,Ashe,Annie,1
Rumble,JarvanIV,Yasuo,Hwei,Senna,Jayce,Zed,Akali,Kaisa,Rakan,0
Ambessa,Talon,Malzahar,Sivir,Nami,Ryze,Briar,Ekko,Kaisa,Janna,0
TahmKench,Karthus,Syndra,Yunara,Milio,Seraphine,Zac,Naafiri,Kaisa,Velkoz,1
Renekton,Diana,Talon,Kaisa,Syndra,Jax,MasterYi,Akshan,Mel,Velkoz,0
Mordekaiser,Talon,Diana,Draven,Lulu,Vayne,Vi,Hwei,KogMaw,Rell,1
Kennen,Rengar,Yasuo,Draven,Morgana,Sion,Qiyana,Azir,Ashe,Lulu,1
Vayne,JarvanIV,Veigar,Yunara,Karma,Teemo,MasterYi,Syndra,Twitch,Sona,1
Fiora,Diana,Kayle,Jhin,Bard,Ambessa,Viego,Taliyah,Sivir,Karma,1
Zaahen,Aatrox,Akali,Ziggs,Pyke,KSante,JarvanIV,Malzahar,Galio,Janna,1
Elise,Diana,Jayce,Jhin,Pantheon,Ambessa,Ekko,Katarina,Zoe,Lissandra,1
Vayne,Aatrox,Zoe,Jhin,Alistar,Riven,Diana,Orianna,Tristana,Rakan,0
Fiora,Jayce,Twitch,Kalista,Bard,Jax,JarvanIV,Ryze,Yunara,Lulu,0
Zaahen,Diana,Chogath,Kaisa,Rell,Teemo,Rengar,Orianna,Smolder,Neeko,1
Darius,Diana,Syndra,Kaisa,Rakan,Vayne,Hecarim,Akali,Yunara,Pyke,1
Jayce,JarvanIV,Ryze,Swain,Rell,Irelia,Karthus,Syndra,Ashe,Poppy,1
Sion,Graves,Syndra,Ezreal,Soraka,Yone,JarvanIV,Ryze,Tristana,Nautilus,0
Renekton,Hecarim,Orianna,Varus,Elise,Gnar,Ambessa,Cassiopeia,Kaisa,Neeko,0
Teemo,JarvanIV,Zilean,Ezreal,Rakan,Vladimir,Ambessa,Sylas,Sivir,Senna,1
Riven,JarvanIV,Viktor,MissFortune,Alistar,Zaahen,Jayce,Zoe,Sivir,Sona,1
Renekton,Diana,Zoe,Yunara,Nautilus,Rumble,Belveth,Ahri,Twitch,Rakan,1
Yorick,Qiyana,Akali,Varus,Pantheon,Zeri,JarvanIV,Orianna,Zilean,Leona,0
Sion,XinZhao,Cassiopeia,Jinx,Pyke,Katarina,JarvanIV,Anivia,Lucian,Nautilus,0
Sion,Diana,Irelia,Ezreal,Karma,Zaahen,Ivern,Syndra,Lucian,Blitzcrank,0
Ambessa,Belveth,Galio,Yasuo,Senna,Irelia,Elise,Syndra,Corki,Rakan,0
DrMundo,XinZhao,Ahri,Vayne,Pyke,Aatrox,Shaco,Zoe,Yasuo,Elise,1
Fiora,Jayce,Sylas,Kaisa,Leona,Gnar,Hecarim,Talon,Zilean,Elise,0
Jax,Karthus,Syndra,MissFortune,Nautilus,KSante,Diana,Ryze,Twitch,Lulu,0
Irelia,XinZhao,Twitch,Yunara,Rell,Jax,JarvanIV,Jayce,Kaisa,Alistar,0
Rumble,JarvanIV,Vayne,Yunara,Bard,Evelynn,Zed,Velkoz,Caitlyn,Elise,0
Tryndamere,Skarner,Jayce,AurelionSol,Elise,Swain,JarvanIV,Syndra,Jhin,Sylas,1
Ornn,Belveth,Quinn,AurelionSol,Elise,Chogath,LeeSin,Leblanc,Ezreal,Braum,0
